TIEMPO,PALMAS,GUAZU,URUGUAY
2016-12-11,5628.59000640132,11033.866677685688,2865.517270061919
2016-12-12,5604.901444881063,10953.41535279346,2725.480427409017
2016-12-13,5581.51133493509,10874.021804532878,2602.6747367398734
2016-12-14,5558.782453519408,10796.872967767695,2518.040052233883
2016-12-15,5537.073829572006,10723.25604502662,2472.265657992209
2016-12-16,5516.74675336375,10654.451425132673,2473.6456108148204
2016-12-17,5498.296080229881,10592.036012967304,2516.036365888809
2016-12-18,5481.786542600703,10536.198591951512,2568.357956958724
2016-12-19,5467.219274121007,10486.861659815817,2635.9206234172057
2016-12-20,5454.7046835872015,10444.477859822384,2714.7613141110214
2016-12-21,5444.369919024759,10409.498964638104,2809.919417106883
2016-12-22,5436.593153065281,10383.131742579542,2939.1086620602914
2016-12-23,5431.4883537425,10365.790732354704,3094.1152780477846
2016-12-24,5429.177774390367,10357.943227840551,3239.6093701439777
2016-12-25,5430.760828002386,10363.352218591017,3366.752339083849
2016-12-26,5436.097933287281,10381.700954824997,3492.0612281934714
2016-12-27,5445.064923254812,10412.715036345484,3611.7851840086873
2016-12-28,5458.078441486288,10458.114932571483,3712.7797757466665
2016-12-29,5474.822470292332,10516.941371789471,3780.288526442821
2016-12-30,5494.948135818983,10588.01079626482,3841.1066014658395
2016-12-31,5518.421164424793,10671.410545398678,3912.698696293415
2017-01-01,5544.22166581665,10762.90107283543,3991.7859529953867
2017-01-02,5572.601225648292,10863.527198243684,4095.9862446575266
2017-01-03,5603.776934271552,10975.176113394575,4226.903508540012
2017-01-04,5636.546203785651,11093.1286775206,4365.059490006255
2017-01-05,5670.246788731981,11214.930188109252,4497.088268876474
2017-01-06,5704.678774649612,11340.113957515927,4645.953387629326
2017-01-07,5739.432669454682,11467.121761221964,4833.758051588592
2017-01-08,5774.492873193207,11596.225253917972,5077.213573533287
2017-01-09,5809.648654603124,11726.22234951973,5358.0731329876235
2017-01-10,5844.28730102792,11853.863427571707,5660.264260587038
2017-01-11,5878.6347417672505,11980.34024429152,5998.931666953534
2017-01-12,5912.8608239192745,12106.458936519248,6354.2985909514555
2017-01-13,5946.607914390778,12230.96130619921,6699.731794648719
2017-01-14,5980.787311642208,12358.39886542138,7001.032383771647
2017-01-15,6015.3868310745875,12489.014807965686,7243.311582148096
2017-01-16,6049.4561546713085,12618.882980096203,7439.589098082403
2017-01-17,6082.933232490791,12747.795871055207,7585.089402967863
2017-01-18,6115.58386683403,12874.792304297907,7673.586517713201
2017-01-19,6147.361463543181,12999.479172693864,7723.462749491689
2017-01-20,6178.309704757626,13122.054454299981,7735.562913490505
2017-01-21,6206.848339279796,13235.204628131598,7675.668097077712
2017-01-22,6232.618053190262,13337.272912571332,7556.086808296542
2017-01-23,6255.870388175143,13429.332076147442,7403.4891658978295
2017-01-24,6275.015525929338,13505.284186340781,7221.915055497096
2017-01-25,6289.847424235714,13564.100923926444,7016.218802936873
2017-01-26,6300.26983905407,13605.34719714741,6792.735601176336
2017-01-27,6305.649669868245,13626.623448873272,6570.270343433067
2017-01-28,6306.105701185266,13628.420741062111,6331.184648496475
2017-01-29,6301.62421819963,13610.893096741573,6058.896027307511
2017-01-30,6292.387716492726,13574.943970880571,5765.6923407488275
2017-01-31,6279.500624490524,13525.401011853432,5473.507807331984
2017-02-01,6262.668624196361,13461.350033563092,5216.986818892023
2017-02-02,6240.8206496591265,13378.585752744337,5000.679787356912
2017-02-03,6214.779628305395,13281.044352627696,4823.680445535758
2017-02-04,6185.082212742174,13171.178694439546,4693.683839698476
2017-02-05,6152.0188788863215,13050.019886522387,4585.483390641081
2017-02-06,6116.035135750049,12919.43618917582,4467.640665351411
2017-02-07,6077.713505039791,12780.91117603487,4350.905837484794
2017-02-08,6038.188470601427,12638.330898288312,4261.493860889646
2017-02-09,5999.0587336823555,12497.755712720793,4194.996513968205
2017-02-10,5960.5873420731305,12359.366425100066,4145.020358765401
2017-02-11,5923.522816895335,12224.986134992987,4116.077030923753
2017-02-12,5888.090002245776,12095.530297364554,4169.743779222458
2017-02-13,5853.237973406846,11966.095897252284,4350.237393824274
2017-02-14,5818.789219886675,11835.932340296225,4626.538359095149
2017-02-15,5785.030783874236,11707.007513135455,4956.157681818755
2017-02-16,5751.849795329605,11579.003049882369,5307.499020169155
2017-02-17,5720.570038267306,11456.291569179184,5667.26642369425
2017-02-18,5690.818164949013,11338.038362212068,6008.077029028093
2017-02-19,5662.1457048418115,11222.793002528537,6320.422722413485
2017-02-20,5635.99114615395,11117.460328356665,6624.910010008642
2017-02-21,5612.70393390533,11023.688091515296,6923.70974232988
2017-02-22,5592.571815724926,10942.280435867977,7203.43429685987
2017-02-23,5576.257668956543,10876.277636888977,7450.567247930575
2017-02-24,5563.084788239609,10823.4267332119,7670.736697615734
2017-02-25,5553.253821743811,10784.356553741847,7860.646161374948
2017-02-26,5547.624970604048,10762.135833327373,7981.166766461163
2017-02-27,5546.139496380744,10756.325863813583,7986.219123627512
2017-02-28,5549.018409515834,10767.450833150722,7896.698308827449
2017-03-01,5555.457037681764,10791.983184824532,7759.405438240703
2017-03-02,5565.080758249454,10828.073741309245,7598.33466834414
2017-03-03,5577.482321077856,10873.703840084327,7442.418203325959
2017-03-04,5592.443232979168,10927.4847969593,7304.285117182976
